check_out	limits,request_info
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-time	O	
O	O	
O	O	
O	O	
O	O	


cancel_close_leave_freeze	booking,cancel_close_leave_freeze,how,restaurant
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-date	
O	I-date	
O	I-date	


greet	acknowledge,booking,change
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


wifi	spa,why,wrong_notworking_notshowing
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


booking,make_open_apply_setup_get_activate	booking,change,existing,less_lower_before
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-rooms	O	
I-rooms	O	
I-rooms	O	
I-rooms	O	
I-rooms	O	
O	O	
O	O	
O	O	


room_service	greet,make_open_apply_setup_get_activate,room_service
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


room_service	handoff,room_service
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


end_call	end_call
O	O	


check_out,more_higher_after	check_out,more_higher_after
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-time	


request_info	check_in,when
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


booking	booking,change,more_higher_after
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-person_name	
O	I-person_name	


acknowledge	affirm
O	O	
O	O	
O	O	
O	O	


deny	deny,existing
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-adults	O	
O	O	
O	O	
B-kids	B-date	
I-kids	I-date	
I-kids	I-date	


request_info	pets,request_info,swimming_pool
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


booking	booking,make_open_apply_setup_get_activate,new
O	O	
O	O	
O	O	
O	O	
O	O	


room_ammenities	wifi,wrong_notworking_notshowing
O	O	
O	O	
O	O	


request_info	how_much,spa
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


lost_stolen	lost_stolen
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


room_ammenities	room_ammenities
B-rooms	B-rooms	
I-rooms	I-rooms	
O	O	
O	O	
O	O	


request_info	gym,request_info
O	O	
O	O	
O	O	
O	O	


make_open_apply_setup_get_activate	booking,make_open_apply_setup_get_activate,spa
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-date_from	B-date	
I-date_from	I-date	
O	O	
B-time	B-time	
I-time	I-time	
I-time	I-time	
I-time	I-time	
I-time	I-time	


cancel_close_leave_freeze	booking,cancel_close_leave_freeze,restaurant
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-people	B-people	
O	O	
O	B-time	
O	I-time	
O	O	
B-time	B-person_name	
O	O	
O	O	


change	booking,change
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-person_name	


parking	parking,request_info
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


booking,make_open_apply_setup_get_activate	booking,make_open_apply_setup_get_activate,restaurant
O	O	
O	O	
O	O	
O	O	
B-people	B-people	
O	O	
O	O	
O	O	
B-date_from	O	
I-date_from	B-date	
I-date_from	I-date	
O	I-date	
O	O	
O	O	
B-date_to	O	
I-date_to	B-time	
O	I-time	
B-kids	I-time	
O	I-time	


change,existing	booking,change,existing
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


make_open_apply_setup_get_activate	make_open_apply_setup_get_activate,room_service
O	O	
O	O	
O	O	
O	O	
B-rooms	O	
I-rooms	O	
I-rooms	O	
O	O	


when	request_info,restaurant
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


booking	booking,make_open_apply_setup_get_activate
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B-date_from	B-date_from	
I-date_from	I-date_from	
O	O	
B-date_to	B-date_to	
O	O	
O	O	
O	O	
O	O	
O	B-people	
O	O	
O	O	
B-date_from	B-date_period	
O	I-date_period	
B-date_to	O	


change	change
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


booking	booking,make_open_apply_setup_get_activate
O	O	
O	O	
O	O	
O	O	
O	O	
B-people	B-rooms	
O	O	


booking	booking,make_open_apply_setup_get_activate
O	O	
O	O	
B-people	B-date_from	


deny	booking,thank
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


request_info	check_out
O	O	
O	O	
O	O	
O	O	
B-time	B-time	
I-time	I-time	
I-time	I-time	
I-time	I-time	
I-time	O	
I-time	B-date	
O	O	


how_long	gym,how_long
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


make_open_apply_setup_get_activate	housekeeping
O	O	
O	O	
O	O	


dont_know,wrong_notworking_notshowing	check_out,greet,lost_stolen
O	O	
O	O	
O	O	
O	O	
O	O	
B-date	B-date	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


handoff	accesibility,spa
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


refund	dont_know
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


room_service	end_call
O	O	
O	O	
O	O	


request_info	more_higher_after,request_info,swimming_pool
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-time	
O	I-time	


when	restaurant,when
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


when	check_in,when
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


handoff	check_in,less_lower_before
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B-time	


deny	deny
O	O	
O	O	
O	O	
O	B-adults	
O	I-adults	
O	O	
O	O	
O	B-kids	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


check_in	pets,request_info
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


wrong_notworking_notshowing	affirm,room_ammenities
O	O	
O	O	
O	B-rooms	
O	O	
O	O	
O	O	
O	O	


new	new
O	O	
O	O	
O	O	


how_much	how_much
O	O	
O	O	
O	O	
O	B-rooms	
B-rooms	I-rooms	
I-rooms	O	
O	O	
O	O	


